Operating System,Graphics Processing Type,Processor Speed,Color,GPU,Release Year,Brand,Processor,SSD Capacity,Price,Screen Size,RAM Size,Resolution
10,Integrated,3,White,NVIDIA GeForce RTX 2060,2020,ASUS,8,1000,1107.28,14,16,2073600
11.5,Integrated,1.3,Black and Silver,Intel HD Graphics 615,2019,Dell,7,500,1103.46,13.3,16,2073600
11.5,Integrated,2.6,Black,Intel HD Graphics 620,2018,Dell,5,1000,731.51,12.5,16,2073600
11,Integrated,1.3,Gray,Intel Iris Xe Graphics,2022,Lenovo,5,512,1226.52,14,8,2073600
10.5,Integrated,4.9,Silver,Intel Iris Xe Graphics,2021,HP,7,512,1362.8,14,16,2073600
11,Integrated,2.4,Silver,Intel HD Graphics,2021,Microsoft,5,128,1362.63,13,8,5529600
10,Integrated,3.7,Grey,AMD Radeon Vega 8,2020,Huawei,4,256,1250.91,14,8,3110400
11,Integrated,2,Gray,Intel UHD Graphics,2020,HP,5,512,1189.04,15.6,8,1049088
10,Integrated,1.7,Grey,Intel HD Graphics 640,2018,Microsoft,5,128,1129.58,13.5,8,3393024
10.5,Integrated,2.4,Black,Intel Iris Xe Graphics,2021,Dell,5,256,1107.28,14,8,2073600
10.5,Integrated,2.8,Silver,Intel HD Graphics 620,2017,HP,7,512,1359.68,14,16,2073600
11,Integrated,2.8,Black,Intel Iris Xe Graphics,2021,Samsung,7,512,1107.28,13.3,16,2073600
11.5,Integrated,2.4,Silver,Intel J4125,2022,Reborn,5,1000,1362.8,12.3,12,6000000
11,Integrated,1.2,Grey,Intel UHD Graphics,2019,ASUS,3,256,1255.05,14,8,2073600
10,Dedicated,1.8,Grey,NVIDIA GeForce MX130 (2 GB DDR3 dedicated),2019,HP,7,256,1255.05,14,256,2073600
10.5,Dedicated,1.9,Black,NVIDIA Geforce MX150,2017,Lenovo,7,1000,1120.9,15.6,32,2073600
10,Dedicated,1.73,Black,2 x AMD MOBILITY RADEON HD 5800 SERIES,2011,Alienware,7,256,1362.77,17.3,8,2304000
11.5,Integrated,2.4,Black,Intel HD Graphics 5500,2018,Dell,5,1000,626.92,13,16,1049088
11.5,Integrated,2.8,Black,Intel HD Graphics,2021,ASUS,5,64,1150.29,15.6,4,1049088
10.5,Integrated,1.7,Black,Intel UHD Graphics 620,2018,Microsoft,5,256,1107.28,12.3,8,4990464
10,Dedicated,3.5,Black,NVIDIA GeForce GTX960M,2016,Dell,7,128,1380.56,15.6,8,2073600
10,Integrated,2.4,Silver,Intel HD Graphics,2020,HP,5,256,1255.09,13.3,8,2073600
11.5,Integrated,2.8,Blue,Intel UHD Graphics 620,2021,HP,7,512,1255.09,13.3,512,8294400
10.5,Integrated,2.9,carbon,Integrated,2017,Dell,7,256,1380.6,15.6,32,7516800
10,Integrated,2.1,Gray,AMD Radeon Graphics,2021,Dell,4,256,1345.73,14,8,2073600
10.5,Integrated,2.3,Silver,AMD Radeon Graphics,2022,HP,4,256,1355.99,14,16,2073600
11.5,Integrated,2.6,Black,Intel Iris Xe Graphics,2021,Dell,5,256,1362.77,14,16,2073600
11.5,Integrated,1.9,Silver,AMD Radeon Graphics,2021,HP,6,512,1328.73,14,16,2073600
10,Integrated,2.4,Silver,Intel HD Graphics,2021,HP,5,512,1260.56,17.3,16,2073600
10,Integrated,1.6,Silver,Intel UHD Graphics,2020,Dell,5,256,1189.04,13.3,8,2073600
10,Integrated,2,Black,Intel HD Graphics 620,2020,Dell,7,2000,783.44,13,64,2073600
11.5,Integrated,1.5,Black,Intel UHD Graphics,2021,Dell,3,128,1189.04,13,4,2457600
11.5,Integrated,2.4,Black,Intel HD Graphics 520,2018,Dell,5,1000,626.92,13,16,1049088
11.5,Integrated,2.6,Black,Intel HD Graphics 620,2019,Dell,5,1000,731.51,13,16,786432
10,Dedicated,2,Silver,Intel® UHD Graphics 605,2022,HP,5,256,1154.97,14,8,2073600
11,Integrated,2.4,Black,Intel UHD Graphics,2021,Dell,5,256,1359.39,15.6,8,2073600
11.5,Integrated,2.4,Silver,Intel J4125,2022,Reborn,5,1000,1362.8,12.3,12,6000000
10,Integrated,3,Gray,Intel UHD Graphics,2021,HP,3,256,1107.11,15.6,8,1049088
